Date,Cases,Deaths,Recovered,Travel_history,Province,City
2020-02-26,1,0,0,China,Islamabad Capital Territory,Islamabad
2020-02-26,2,0,0,Iran/Taftan,Sindh,Karachi
2020-02-29,1,0,0,China,Islamabad Capital Territory,Islamabad
2020-02-29,1,0,0,Iran/Taftan,Sindh,Karachi
2020-03-02,1,0,0,Iran/Taftan,Gilgit-Baltistan,Gilgit
2020-03-06,0,0,1,Unknown,Sindh,Karachi
2020-03-07,1,0,0,Iran/Taftan,Sindh,Karachi
2020-03-09,6,0,0,Syria,Sindh,Karachi
2020-03-09,3,0,0,UK,Sindh,Karachi
2020-03-10,1,0,0,Iran/Taftan,Sindh,Karachi
2020-03-10,1,0,0,Syria,Sindh,Hyderabad
2020-03-10,1,0,0,Iran/Taftan,Baluchistan,Quetta
2020-03-11,1,0,0,Iran/Taftan,Gilgit-Baltistan,Skardu
2020-03-11,0,0,1,Iran/Taftan,Sindh,Karachi
2020-03-12,1,0,0,Local - Social Contact,Gilgit-Baltistan,Gilgit
2020-03-13,1,0,0,USA,Islamabad Capital Territory,Islamabad
2020-03-13,1,0,1,Local - Social Contact,Sindh,Karachi
2020-03-13,7,0,0,Iran/Taftan,Baluchistan,Taftan
2020-03-15,13,0,0,Iran/Taftan,Sindh,Sukkur
2020-03-15,4,0,0,Iran/Taftan,Sindh,Karachi
2020-03-15,1,0,0,UK,Punjab,Lahore
2020-03-15,15,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
2020-03-15,1,1,0,Unknown,Khyber Pakhtunkhwa,Mardan
2020-03-16,119,0,0,Iran/Taftan,Sindh,Sukkur
2020-03-16,26,0,0,Iran/Taftan,Sindh,Karachi
2020-03-16,2,0,0,Iran/Taftan,Sindh,Hyderabad
2020-03-16,1,0,0,Unknown,Punjab,Lahore
2020-03-16,1,0,1,Unknown,Islamabad Capital Territory,Islamabad
2020-03-16,1,0,0,Unknown,khyber Pakhtunkhwa,Mansehra
2020-03-16,1,0,0,Unknown,Khyber Pakhtunkhwa,Mardan
2020-03-17,15,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
2020-03-17,24,0,0,Iran/Taftan,Sindh,Sukkur
2020-03-17,5,0,0,KSA,Sindh,Karachi
2020-03-17,3,0,0,Unknown,Punjab,Lahore
2020-03-17,1,0,0,Unknown,khyber Pakhtunkhwa,Peshawar
2020-03-17,1,0,0,UK,Khyber Pakhtunkhwa,Charsadda
2020-03-17,2,0,0,Iran/Taftan,Baluchistan,Quetta
2020-03-17,1,0,0,Unknown,Islamabad Capital Territory,Islamabad
2020-03-18,2,0,0,Unknown,Islamabad Capital Territory,Islamabad
2020-03-18,5,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
2020-03-18,31,0,0,Iran/Taftan,Sindh,Sukkur
2020-03-18,5,0,0,Local - Social Contact,Sindh,Karachi
2020-03-18,10,0,0,Unknown,Gilgit-Baltistan,Gilgit
2020-03-18,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner
2020-03-18,1,1,0,KSA,Khyber Pakhtunkhwa,Mardan 
2020-03-18,1,1,0,Unknown,Khyber Pakhtunkhwa,Hangu 
2020-03-18,1,0,0,Iran/Taftan,Azad Jummu Kashmir,Mirpur
2020-03-19,1,0,0,Local - Social Contact,Punjab,Multan
2020-03-19,8,0,0,Unknown,Punjab,Lahore
2020-03-19,44,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
2020-03-19,37,0,1,Local - Social Contact,Sindh,Karachi
2020-03-19,53,0,0,Iran/Taftan,Baluchistan,Quetta
2020-03-19,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
2020-03-19,1,0,0,Local - Covid Relative,Khyber Pakhtunkhwa,Dera Ismail Khan
2020-03-19,4,0,0,Unknown,Gilgit-Baltistan,Gilgit
2020-03-19,4,0,0,Unknown,Gilgit-Baltistan,Nagar
2020-03-20,5,0,0,Unknown,Baluchistan,Quetta
2020-03-20,4,1,0,Local - Social Contact,Sindh,Karachi
2020-03-20,1,0,0,Unknown,Khyber Pakhtunkhwa,Mansehra
2020-03-20,1,0,0,Unknown,Federal Administration Tribal Area,Khyber
2020-03-20,1,0,0,Local - Social Contact,Punjab,Rawalpindi
2020-03-20,1,0,0,Local - Social Contact,Punjab,Jehlum
2020-03-20,3,0,0,Local - Social Contact,Punjab,Gujrat 
2020-03-20,2,0,0,Unknown,Punjab,Lahore
2020-03-20,7,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
2020-03-20,1,0,0,Local - Social Contact,Gilgit-Baltistan,Nagar
2020-03-20,8,0,0,Iran/Taftan,Gilgit-Baltistan,Gilgit
2020-03-20,16,0,0,Local - Social Contact,Sindh,Karachi
2020-03-21,3,0,0,Unknown,Islamabad Capital Territory,Islamabad
2020-03-21,12,0,0,Iran/Taftan,Baluchistan,Quetta
2020-03-21,39,0,0,Iran/Taftan,Sindh,Sukkur
2020-03-21,0,0,3,Local - Social Contact,Sindh,Karachi
2020-03-21,25,0,0,Iran/Taftan,Gilgit-Baltistan,Skardu
2020-03-21,6,0,0,Unknown,Punjab,Lahore
2020-03-21,38,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
2020-03-21,1,0,0,Local - Social Contact,Punjab,Jehlum
2020-03-21,4,0,0,Local - Social Contact,Punjab,Gujranwala
2020-03-21,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Peshawar
2020-03-21,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
2020-03-21,2,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
2020-03-21,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Mardan
2020-03-21,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Karak
2020-03-22,4,0,0,Local - Social Contact,Gilgit-Baltistan,Nagar
2020-03-22,18,0,0,Local - Social Contact,Sindh,Karachi
2020-03-22,23,0,0,Iran/Taftan,Sindh,Sukkur
2020-03-22,1,0,0,Unknown,Islamabad Capital Territory,Islamabad
2020-03-22,15,0,0,Unknown,Punjab,Lahore
2020-03-22,1,0,0,Local - Social Contact,Punjab,Jehlum
2020-03-22,1,0,0,Local - Social Contact,Punjab,Rawalpindi
2020-03-22,43,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
2020-03-22,4,1,0,Unknown,Baluchistan,Quetta
2020-03-23,7,0,0,Local - Social Contact,Sindh,Karachi
2020-03-23,11,0,0,Iran/Taftan,Sindh,Sukkur
2020-03-23,1,0,0,Iran/Taftan,Sindh,Dadu
2020-03-23,5,0,0,Iran/Taftan,Baluchistan,Taftan
2020-03-23,16,1,0,Iran/Taftan,Gilgit-Baltistan,Skardu
2020-03-23,25,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
2020-03-23,16,0,0,Local - Social Contact,Punjab,Lahore
2020-03-23,1,0,0,Unknown,Khyber Pakhtunkhwa,Mansehra
2020-03-24,8,0,6,Local - Social Contact,Sindh,Karachi
2020-03-24,8,0,0,Iran/Taftan,Sindh,Sukkur
2020-03-24,3,0,10,Local - Social Contact,Sindh,Karachi
2020-03-24,5,0,0,Local - Social Contact,Gilgit-Baltistan,Gilgit
2020-03-24,37,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
2020-03-24,1,0,0,Iran/Taftan,Federal Administration Tribal Area,South Waziristan
2020-03-24,2,0,0,Unknown,Khyber Pakhtunkhwa,Peshawar
2020-03-24,2,0,0,Unknown,Baluchistan,Quetta
2020-03-24,7,0,0,Local - Social Contact,Punjab,Lahore
2020-03-24,1,0,0,Local - Social Contact,Punjab,Multan
2020-03-24,9,0,0,Local - Social Contact,Punjab,Gujrat 
2020-03-24,3,0,0,Local - Social Contact,Punjab,Gujranwala
2020-03-24,1,0,0,Local - Social Contact,Punjab,Sargodha
2020-03-24,1,0,0,Local - Social Contact,Punjab,Faisalabad
2020-03-24,1,0,0,Local - Social Contact,Punjab,Mandi Bahauddin
2020-03-24,1,0,0,Local - Social Contact,Punjab,Rahim yar khan
2020-03-24,3,0,0,Local - Social Contact,Sindh,Karachi
