City,Cases
Karachi,1610
Multan,712
Lahore,688
Raiwind,546
Peshawar,403
Quetta,403
Sukkur,326
Dera Ghazi Khan,247
Hyderabad,197
Rawalpindi,187
Islamabad,176
Sargodha,164
Khairpur,160
Gujrat,151
Ghotki,126
Mardan,119
Shaheed Benazirabad,89
Rahim Yar Khan,88
Gujranwala,85
Dera Ismail Khan,81
Gilgit,79
Lodhran,79
Sialkot,78
Faisalabad,77
Nagar,76
Jehlum,74
Vehari,72
Buner,64
Bhakhar,63
Muzaffargar,61
Dir Upper,59
Kohat,55
Bahawalpur,54
Swat,49
Skardu,49
Hafizabad,47
Muzaffarabad,42
Mansehra,33
Laiya,32
Narowal,31
Nowshera,30
Mandi Bahauddin,29
Abbottabad,28
Khushab,27
Nankana,27
Shigar,27
Sheikhupura,25
Charsadda,24
Dir Lower,21
Bahawal Nagar,21
Kurrum,20
Bannu,20
Tando M. Khan,19
Hangu,18
Mianwali,18
Larkana,17
Naushero Feroz,15
Sanghar,15
Attock,15
Astore,14
Shangla,14
Malakand,14
Kharmang,13
Taftan,12
Gujrat ,12
Dadu,11
Swabi,11
Khyber,10
Kasur,10
Karak,10
Rajanpur,9
Orakzai,8
Chiniot,8
Sujawal,8
Sahewal,8
NSB,8
Bajaur,7
Toba Tek Singh,7
Haripur,7
Khanewal,7
North Waziristan,5
Chakwal,5
Mirpur,4
Lakki Marwat,4
Tando Alahyar,4
Jamshoro,4
Badin,4
Shikarpur,3
Diamer,3
South Waziristan,3
Bhambore ,2
Jhang,2
Ghanche,2
Torghar,2
Mohmand,2
Jacobabad,1
Hangu ,1
Pakpatan,1
Okara,1
Mardan ,1
Rahim yar khan,1
Shujawal,1
Tank,1
Trarkhel,1
Umerkot,1
